Date,PM2.5,AQI,AQI-Bucket
2020-10-3,18.3,,
3,18.3,64.0,Moderate
2020-10-4,18.3,,
4,18.3,64.0,Moderate
2020-10-5,14.8,,
5,14.8,57.0,Moderate
2020-10-6,22.2,,
6,22.2,72.0,Moderate
2020-10-7,22.2,,
7,22.2,72.0,Moderate
2020-10-8,18.3,,
8,18.3,64.0,Moderate
2020-10-9,18.3,,
9,18.3,64.0,Moderate
2020-10-10,11.1,,
10,11.1,46.0,Good
2020-10-11,14.8,,
11,14.8,57.0,Moderate
2020-10-12,11.1,,
12,11.1,46.0,Good
2020-10-13,10.7,,
13,10.7,45.0,Good
2020-10-14,18.3,,
14,18.3,64.0,Moderate
2020-10-15,14.8,,
15,14.8,57.0,Moderate
2020-10-16,18.3,,
16,18.3,64.0,Moderate
2020-10-17,18.3,,
17,18.3,64.0,Moderate
2020-10-18,11.1,,
18,11.1,46.0,Good
2020-10-19,18.3,,
19,18.3,64.0,Moderate
2020-10-20,14.8,,
20,14.8,57.0,Moderate
2020-10-21,14.8,,
21,14.8,57.0,Moderate
2020-10-22,18.3,,
22,18.3,64.0,Moderate
2020-10-23,18.3,,
23,18.3,64.0,Moderate
2020-10-24,18.3,,
24,18.3,64.0,Moderate
2020-10-25,7.6,,
25,7.6,32.0,Good
2020-10-26,7.6,,
26,7.6,32.0,Good
2020-10-27,18.3,,
27,18.3,64.0,Moderate
2020-10-28,18.3,,
28,18.3,64.0,Moderate
2020-10-29,14.8,,
29,14.8,57.0,Moderate
2020-10-30,7.6,,
30,7.6,32.0,Good
2020-10-31,7.6,,
31,7.6,32.0,Good
2020-10-,15.4,,
,15.4,58.0,Moderate
2020-11-1,11.1,,
1,11.1,46.0,Good
2020-11-2,14.8,,
2,14.8,57.0,Moderate
2020-11-3,37,,
3,37.0,105.0,Unhealthy for Sensitive Groups
2020-11-4,18.3,,
4,18.3,64.0,Moderate
2020-11-5,14.8,,
5,14.8,57.0,Moderate
2020-11-6,64.4,,
6,64.4,156.0,Unhealthy
2020-11-7,7.6,,
7,7.6,32.0,Good
2020-11-8,7.6,,
8,7.6,32.0,Good
2020-11-9,11.1,,
9,11.1,46.0,Good
2020-11-10,11.1,,
10,11.1,46.0,Good
2020-11-11,11.1,,
11,11.1,46.0,Good
2020-11-12,14.8,,
12,14.8,57.0,Moderate
2020-11-13,11.1,,
13,11.1,46.0,Good
2020-11-14,11.1,,
14,11.1,46.0,Good
2020-11-15,11.1,,
15,11.1,46.0,Good
2020-11-16,14.8,,
16,14.8,57.0,Moderate
2020-11-17,18.3,,
17,18.3,64.0,Moderate
2020-11-18,14.8,,
18,14.8,57.0,Moderate
2020-11-19,11.1,,
19,11.1,46.0,Good
2020-11-20,22.2,,
20,22.2,72.0,Moderate
2020-11-21,11.1,,
21,11.1,46.0,Good
2020-11-22,11.1,,
22,11.1,46.0,Good
2020-11-23,11.1,,
23,11.1,46.0,Good
2020-11-24,25.9,,
24,25.9,80.0,Moderate
2020-11-25,18.3,,
25,18.3,64.0,Moderate
2020-11-26,37,,
26,37.0,105.0,Unhealthy for Sensitive Groups
2020-11-27,33.5,,
27,33.5,96.0,Moderate
2020-11-28,14.8,,
28,14.8,57.0,Moderate
2020-11-29,18.3,,
29,18.3,64.0,Moderate
2020-11-30,7.6,,
30,7.6,32.0,Good
2020-11-,17.6,,
,17.6,63.0,Moderate
2020-12-1,11.1,,
1,11.1,46.0,Good
2020-12-2,7.6,,
2,7.6,32.0,Good
2020-12-3,7.6,,
3,7.6,32.0,Good
2020-12-4,18.3,,
4,18.3,64.0,Moderate
2020-12-5,14.8,,
5,14.8,57.0,Moderate
2020-12-6,14.8,,
6,14.8,57.0,Moderate
2020-12-7,11.1,,
7,11.1,46.0,Good
2020-12-8,7.6,,
8,7.6,32.0,Good
2020-12-9,18.3,,
9,18.3,64.0,Moderate
2020-12-10,14.8,,
10,14.8,57.0,Moderate
2020-12-11,25.9,,
11,25.9,80.0,Moderate
2020-12-12,11.1,,
12,11.1,46.0,Good
2020-12-13,14.8,,
13,14.8,57.0,Moderate
2020-12-14,11.1,,
14,11.1,46.0,Good
2020-12-15,11.1,,
15,11.1,46.0,Good
2020-12-16,22.2,,
16,22.2,72.0,Moderate
2020-12-17,25.9,,
17,25.9,80.0,Moderate
2020-12-18,11.1,,
18,11.1,46.0,Good
2020-12-19,7.6,,
19,7.6,32.0,Good
2020-12-20,11.1,,
20,11.1,46.0,Good
2020-12-21,11.1,,
21,11.1,46.0,Good
2020-12-22,7.6,,
22,7.6,32.0,Good
2020-12-23,7.6,,
23,7.6,32.0,Good
2020-12-24,14.8,,
24,14.8,57.0,Moderate
2020-12-25,22.2,,
25,22.2,72.0,Moderate
2020-12-26,11.1,,
26,11.1,46.0,Good
2020-12-27,25.9,,
27,25.9,80.0,Moderate
2020-12-28,14.8,,
28,14.8,57.0,Moderate
2020-12-29,18.3,,
29,18.3,64.0,Moderate
2020-12-30,14.8,,
30,14.8,57.0,Moderate
2020-12-31,25.9,,
31,25.9,80.0,Moderate
2020-12-,14.6,,
,14.6,56.0,Moderate
